patent_id,inventor_id,company_id
US66222001B2,INV5181,
US66222001B2,,COMP532
US64526022B2,INV2982,
US64526022B2,INV7459,
US64526022B2,,COMP253
US10248997B2,INV1854,
US10248997B2,INV4922,
US10248997B2,,COMP272
US14510807B2,INV2041,
US14510807B2,INV4622,
US14510807B2,INV4777,
US14510807B2,,COMP329
US14510807B2,,COMP501
US66576622B2,INV7912,
US66576622B2,INV2980,
US66576622B2,,COMP242
US45299314B2,INV2735,
US45299314B2,INV1288,
US45299314B2,INV8981,
US45299314B2,,COMP262
US45299314B2,,COMP794
US69263449B2,INV3228,
US69263449B2,INV9844,
US69263449B2,INV6952,
US69263449B2,,COMP137
US81150329B2,INV8334,
US81150329B2,INV5590,
US81150329B2,INV3787,
US81150329B2,,COMP765
US95640040B2,INV1117,
US95640040B2,INV5219,
US95640040B2,INV1982,
US95640040B2,,COMP588
US95640040B2,,COMP640
US93211953B2,INV8793,
US93211953B2,INV2576,
US93211953B2,INV2804,
US93211953B2,,COMP692
US93211953B2,,COMP270
US31138281B2,INV1185,
US31138281B2,INV2244,
US31138281B2,INV7611,
US31138281B2,,COMP921
US71659082B2,INV1387,
US71659082B2,INV1890,
US71659082B2,,COMP579
US75559268B2,INV8397,
US75559268B2,INV6776,
US75559268B2,,COMP167
US75559268B2,,COMP682
US83673449B2,INV4791,
US83673449B2,INV9850,
US83673449B2,INV2328,
US83673449B2,,COMP786
US83673449B2,,COMP461
US21555161B2,INV4956,
US21555161B2,INV1107,
US21555161B2,INV2780,
US21555161B2,,COMP729
US10492453B2,INV8454,
US10492453B2,INV7247,
US10492453B2,INV6115,
US10492453B2,,COMP172
US10492453B2,,COMP510
US93213621B2,INV4352,
US93213621B2,,COMP397
US35202376B2,INV3644,
US35202376B2,,COMP362
US35202376B2,,COMP263
US33396696B2,INV9669,
US33396696B2,INV9242,
US33396696B2,INV8820,
US33396696B2,,COMP636
US87912356B2,INV8256,
US87912356B2,,COMP549
US97744795B2,INV9438,
US97744795B2,INV2737,
US97744795B2,,COMP151
US64157201B2,INV3738,
US64157201B2,,COMP698
US64157201B2,,COMP260
US74323042B2,INV9763,
US74323042B2,,COMP432
US74323042B2,,COMP259
US69490370B2,INV8359,
US69490370B2,INV9420,
US69490370B2,INV6989,
US69490370B2,,COMP175
US74984519B2,INV6167,
US74984519B2,INV5415,
US74984519B2,INV5842,
US74984519B2,,COMP458
US74984519B2,,COMP945
US41806260B2,INV3869,
US41806260B2,INV6155,
US41806260B2,,COMP431
US85025666B2,INV5351,
US85025666B2,INV4484,
US85025666B2,INV6677,
US85025666B2,,COMP678
US71994606B2,INV4237,
US71994606B2,INV5440,
US71994606B2,INV9270,
US71994606B2,,COMP738
US71994606B2,,COMP669
US89629289B2,INV5519,
US89629289B2,,COMP414
US89629289B2,,COMP243
US33254305B2,INV6695,
US33254305B2,INV1647,
US33254305B2,,COMP652
US96308011B2,INV6483,
US96308011B2,INV1030,
US96308011B2,INV4794,
US96308011B2,,COMP723
US96308011B2,,COMP623
US24305465B2,INV9903,
US24305465B2,INV6590,
US24305465B2,,COMP664
US24305465B2,,COMP985
US13192685B2,INV8485,
US13192685B2,,COMP257
US13192685B2,,COMP795
US55162273B2,INV1208,
US55162273B2,INV3963,
US55162273B2,,COMP397
US55162273B2,,COMP692
US54387860B2,INV8050,
US54387860B2,INV5129,
US54387860B2,,COMP616
US63059847B2,INV9851,
US63059847B2,INV8075,
US63059847B2,INV6773,
US63059847B2,,COMP433
US63059847B2,,COMP521
US31000362B2,INV4636,
US31000362B2,,COMP877
US31000362B2,,COMP467
US94372551B2,INV1922,
US94372551B2,INV8385,
US94372551B2,INV2830,
US94372551B2,,COMP383
US68464198B2,INV1728,
US68464198B2,INV6093,
US68464198B2,,COMP547
US84882253B2,INV1285,
US84882253B2,INV7758,
US84882253B2,INV6961,
US84882253B2,,COMP338
US45685686B2,INV3088,
US45685686B2,INV5566,
US45685686B2,,COMP859
US45685686B2,,COMP164
US48048426B2,INV8151,
US48048426B2,INV1588,
US48048426B2,INV7011,
US48048426B2,,COMP169
US50671851B2,INV6700,
US50671851B2,,COMP220
US81238979B2,INV6003,
US81238979B2,INV2683,
US81238979B2,,COMP253
US81238979B2,,COMP782
US36864708B2,INV4071,
US36864708B2,INV7709,
US36864708B2,INV1008,
US36864708B2,,COMP406
US36864708B2,,COMP431
US45735178B2,INV6433,
US45735178B2,INV9761,
US45735178B2,INV1669,
US45735178B2,,COMP261
US91922971B2,INV3062,
US91922971B2,,COMP383
US74443142B2,INV2355,
US74443142B2,INV9194,
US74443142B2,INV7386,
US74443142B2,,COMP490
US57323136B2,INV8141,
US57323136B2,INV8677,
US57323136B2,INV2794,
US57323136B2,,COMP811
US53044527B2,INV6610,
US53044527B2,INV2556,
US53044527B2,,COMP596
US37122161B2,INV8010,
US37122161B2,,COMP951
US70323239B2,INV1716,
US70323239B2,INV9262,
US70323239B2,,COMP576
US70323239B2,,COMP820
US17083326B2,INV7155,
US17083326B2,INV1442,
US17083326B2,,COMP141
US17083326B2,,COMP189
US99041457B2,INV8121,
US99041457B2,INV3148,
US99041457B2,INV9668,
US99041457B2,,COMP964
US99041457B2,,COMP349
US67002882B2,INV6308,
US67002882B2,INV3799,
US67002882B2,,COMP586
US67002882B2,,COMP528
US65405480B2,INV7367,
US65405480B2,INV7652,
US65405480B2,,COMP514
US95896982B2,INV5422,
US95896982B2,INV6697,
US95896982B2,,COMP798
US95896982B2,,COMP112
US17766893B2,INV5477,
US17766893B2,INV1966,
US17766893B2,INV1906,
US17766893B2,,COMP423
US17766893B2,,COMP344
US32742788B2,INV8378,
US32742788B2,INV8985,
US32742788B2,INV1784,
US32742788B2,,COMP161
US32742788B2,,COMP105
US41793036B2,INV1596,
US41793036B2,,COMP786
US41793036B2,,COMP375
US83463815B2,INV7575,
US83463815B2,,COMP443
US83463815B2,,COMP924
US96315184B2,INV3153,
US96315184B2,,COMP430
US79946046B2,INV8401,
US79946046B2,INV2546,
US79946046B2,,COMP587
US96009129B2,INV7215,
US96009129B2,,COMP652
US96009129B2,,COMP776
US82184781B2,INV7471,
US82184781B2,INV2822,
US82184781B2,,COMP437
US82184781B2,,COMP312
US19228929B2,INV8810,
US19228929B2,INV6922,
US19228929B2,,COMP348
US19228929B2,,COMP824
US75067720B2,INV7377,
US75067720B2,INV9399,
US75067720B2,INV5276,
US75067720B2,,COMP461
US75067720B2,,COMP549
US38045146B2,INV5476,
US38045146B2,INV7277,
US38045146B2,INV7251,
US38045146B2,,COMP107
US67507394B2,INV6929,
US67507394B2,INV1727,
US67507394B2,INV4786,
US67507394B2,,COMP699
US67507394B2,,COMP288
US32063896B2,INV3634,
US32063896B2,,COMP937
US75863450B2,INV9844,
US75863450B2,,COMP380
US75863450B2,,COMP242
US40346794B2,INV4611,
US40346794B2,INV9107,
US40346794B2,,COMP898
US72376025B2,INV2520,
US72376025B2,INV8272,
US72376025B2,,COMP240
US72376025B2,,COMP344
US29381944B2,INV6264,
US29381944B2,INV5824,
US29381944B2,,COMP218
US16822146B2,INV1668,
US16822146B2,INV3306,
US16822146B2,,COMP476
US16822146B2,,COMP274
US62654868B2,INV1609,
US62654868B2,,COMP633
US62654868B2,,COMP959
US67216423B2,INV5469,
US67216423B2,INV7678,
US67216423B2,,COMP832
US67216423B2,,COMP990
US64899981B2,INV9005,
US64899981B2,INV8592,
US64899981B2,,COMP399
US71779972B2,INV9952,
US71779972B2,INV3039,
US71779972B2,,COMP629
US71779972B2,,COMP499
US38894223B2,INV7558,
US38894223B2,INV8260,
US38894223B2,,COMP791
US38894223B2,,COMP653
US57380421B2,INV6130,
US57380421B2,,COMP340
US57380421B2,,COMP165
US74343018B2,INV3790,
US74343018B2,,COMP531
US49503194B2,INV8159,
US49503194B2,INV9911,
US49503194B2,,COMP306
US49503194B2,,COMP301
US18975786B2,INV7968,
US18975786B2,INV5166,
US18975786B2,,COMP315
US18975786B2,,COMP655
US87915394B2,INV7353,
US87915394B2,INV7135,
US87915394B2,INV2719,
US87915394B2,,COMP736
US87915394B2,,COMP153
US13446491B2,INV7344,
US13446491B2,,COMP393
US13446491B2,,COMP392
US39303421B2,INV7253,
US39303421B2,INV7206,
US39303421B2,INV1130,
US39303421B2,,COMP429
US39303421B2,,COMP637
US27959409B2,INV6632,
US27959409B2,INV5946,
US27959409B2,INV2352,
US27959409B2,,COMP454
US27959409B2,,COMP300
US38609922B2,INV2922,
US38609922B2,INV8470,
US38609922B2,INV6772,
US38609922B2,,COMP124
US55764805B2,INV3467,
US55764805B2,,COMP432
US54552238B2,INV5725,
US54552238B2,INV8444,
US54552238B2,INV8334,
US54552238B2,,COMP339
US54552238B2,,COMP274
US31718438B2,INV9675,
US31718438B2,,COMP408
US31718438B2,,COMP578
US54174539B2,INV1172,
US54174539B2,INV4146,
US54174539B2,INV9760,
US54174539B2,,COMP404
US65217637B2,INV5104,
US65217637B2,,COMP332
US33746808B2,INV5269,
US33746808B2,INV7658,
US33746808B2,,COMP205
US33746808B2,,COMP473
US30922525B2,INV9169,
US30922525B2,,COMP870
US60316604B2,INV7223,
US60316604B2,INV1066,
US60316604B2,,COMP380
US60316604B2,,COMP197
US22099332B2,INV1908,
US22099332B2,,COMP702
US69967565B2,INV8418,
US69967565B2,INV9958,
US69967565B2,,COMP737
US69967565B2,,COMP198
US30398907B2,INV4258,
US30398907B2,INV3482,
US30398907B2,INV5767,
US30398907B2,,COMP118
US67270782B2,INV9314,
US67270782B2,INV6334,
US67270782B2,INV9967,
US67270782B2,,COMP798
US67270782B2,,COMP221
US34808227B2,INV3335,
US34808227B2,INV8209,
US34808227B2,,COMP684
US97088677B2,INV3421,
US97088677B2,INV6467,
US97088677B2,,COMP899
US97088677B2,,COMP501
US19989539B2,INV3462,
US19989539B2,,COMP946
US99085067B2,INV4387,
US99085067B2,INV4193,
US99085067B2,,COMP840
US80473424B2,INV3846,
US80473424B2,,COMP538
US89762146B2,INV2191,
US89762146B2,,COMP627
US89762146B2,,COMP941
US87297515B2,INV3217,
US87297515B2,INV1908,
US87297515B2,,COMP226
US87297515B2,,COMP866
US33142721B2,INV9672,
US33142721B2,INV9406,
US33142721B2,,COMP491
US86775449B2,INV1205,
US86775449B2,INV3407,
US86775449B2,INV9284,
US86775449B2,,COMP816
US43340147B2,INV1631,
US43340147B2,,COMP266
US60048276B2,INV9672,
US60048276B2,,COMP658
US54192019B2,INV4264,
US54192019B2,,COMP223
US32050263B2,INV2034,
US32050263B2,INV3620,
US32050263B2,INV2994,
US32050263B2,,COMP869
US32050263B2,,COMP192
US92172285B2,INV7757,
US92172285B2,INV9299,
US92172285B2,INV7680,
US92172285B2,,COMP946
US92172285B2,,COMP538
US21364676B2,INV2421,
US21364676B2,INV3943,
US21364676B2,INV7465,
US21364676B2,,COMP751
US21364676B2,,COMP843
US10042169B2,INV1183,
US10042169B2,,COMP792
US10042169B2,,COMP449
US91188131B2,INV4367,
US91188131B2,,COMP517
US91188131B2,,COMP302
US89247419B2,INV6151,
US89247419B2,INV7061,
US89247419B2,INV9648,
US89247419B2,,COMP748
US89247419B2,,COMP596
US10542810B2,INV9372,
US10542810B2,,COMP798
US10542810B2,,COMP195
US41651882B2,INV9188,
US41651882B2,,COMP848
US41651882B2,,COMP663
US12061353B2,INV5008,
US12061353B2,INV7088,
US12061353B2,INV6189,
US12061353B2,,COMP262
US12061353B2,,COMP774
US47901062B2,INV5507,
US47901062B2,INV9656,
US47901062B2,INV6473,
US47901062B2,,COMP544
US71305158B2,INV9860,
US71305158B2,INV9605,
US71305158B2,,COMP616
US83485922B2,INV7464,
US83485922B2,,COMP465
US83485922B2,,COMP798
US59125218B2,INV8859,
US59125218B2,INV7282,
US59125218B2,INV5597,
US59125218B2,,COMP373
US59125218B2,,COMP794
US58862706B2,INV9286,
US58862706B2,INV5203,
US58862706B2,INV8296,
US58862706B2,,COMP477
US58862706B2,,COMP195
US75738212B2,INV6132,
US75738212B2,INV5101,
US75738212B2,INV8939,
US75738212B2,,COMP747
US75738212B2,,COMP779
US40585758B2,INV8008,
US40585758B2,INV2047,
US40585758B2,INV5840,
US40585758B2,,COMP762
US40585758B2,,COMP344
US89916523B2,INV5503,
US89916523B2,,COMP592
US89916523B2,,COMP425
US69204420B2,INV8764,
US69204420B2,INV5222,
US69204420B2,INV1597,
US69204420B2,,COMP235
US66298201B2,INV2053,
US66298201B2,INV8073,
US66298201B2,INV9201,
US66298201B2,,COMP589
US21192927B2,INV3986,
US21192927B2,,COMP525
US40845959B2,INV3768,
US40845959B2,INV1511,
US40845959B2,INV7145,
US40845959B2,,COMP711
US60771003B2,INV1558,
US60771003B2,,COMP886
US60771003B2,,COMP344
US17297192B2,INV3859,
US17297192B2,,COMP630
US65597348B2,INV3897,
US65597348B2,,COMP128
US65597348B2,,COMP952
US58086781B2,INV7162,
US58086781B2,INV1549,
US58086781B2,INV1932,
US58086781B2,,COMP118
US73930755B2,INV4962,
US73930755B2,,COMP772
US73930755B2,,COMP585
US30517295B2,INV9035,
US30517295B2,INV7820,
US30517295B2,,COMP984
US30517295B2,,COMP647
US76347553B2,INV7894,
US76347553B2,INV6371,
US76347553B2,,COMP726
US76347553B2,,COMP135
US67404057B2,INV6721,
US67404057B2,INV5351,
US67404057B2,,COMP659
US67404057B2,,COMP671
US45246796B2,INV5772,
US45246796B2,,COMP932
US57061083B2,INV2906,
US57061083B2,INV7674,
US57061083B2,,COMP158
US83214670B2,INV5942,
US83214670B2,INV2404,
US83214670B2,,COMP856
US86680522B2,INV8709,
US86680522B2,,COMP470
US86680522B2,,COMP240
US77959291B2,INV7755,
US77959291B2,,COMP783
US77959291B2,,COMP326
US20196841B2,INV6058,
US20196841B2,INV4150,
US20196841B2,,COMP345
US32308993B2,INV4532,
US32308993B2,INV8728,
US32308993B2,INV5903,
US32308993B2,,COMP449
US95647006B2,INV8768,
US95647006B2,INV5139,
US95647006B2,,COMP131
US41198760B2,INV1200,
US41198760B2,INV8685,
US41198760B2,INV7858,
US41198760B2,,COMP350
US41198760B2,,COMP145
US44653656B2,INV1067,
US44653656B2,,COMP798
US69989538B2,INV2561,
US69989538B2,,COMP567
US72621082B2,INV3960,
US72621082B2,INV2773,
US72621082B2,,COMP974
US72621082B2,,COMP648
US15471272B2,INV2482,
US15471272B2,INV6243,
US15471272B2,INV2588,
US15471272B2,,COMP164
US15471272B2,,COMP836
US71213573B2,INV7394,
US71213573B2,INV1240,
US71213573B2,INV2023,
US71213573B2,,COMP239
US42879553B2,INV7060,
US42879553B2,INV1807,
US42879553B2,,COMP268
US42879553B2,,COMP694
US94031122B2,INV4408,
US94031122B2,INV7145,
US94031122B2,,COMP606
US25986495B2,INV5837,
US25986495B2,,COMP806
US25986495B2,,COMP631
US48324746B2,INV8391,
US48324746B2,,COMP373
US48324746B2,,COMP271
US94652480B2,INV4756,
US94652480B2,,COMP362
US94652480B2,,COMP388
US52908832B2,INV5645,
US52908832B2,,COMP573
US52908832B2,,COMP920
US56873500B2,INV1543,
US56873500B2,,COMP334
US25398562B2,INV2055,
US25398562B2,INV4434,
US25398562B2,INV8876,
US25398562B2,,COMP435
US25398562B2,,COMP371
US81235109B2,INV5802,
US81235109B2,,COMP711
US81235109B2,,COMP471
US40857626B2,INV2944,
US40857626B2,INV5168,
US40857626B2,INV6754,
US40857626B2,,COMP666
US91994604B2,INV6106,
US91994604B2,INV9155,
US91994604B2,,COMP844
US75329673B2,INV3070,
US75329673B2,,COMP999
US61057438B2,INV6723,
US61057438B2,INV3213,
US61057438B2,INV1100,
US61057438B2,,COMP440
US61057438B2,,COMP539
US19286298B2,INV7274,
US19286298B2,INV2808,
US19286298B2,,COMP143
US19286298B2,,COMP176
US82433449B2,INV7408,
US82433449B2,INV7515,
US82433449B2,,COMP289
US10542737B2,INV6913,
US10542737B2,,COMP384
US10542737B2,,COMP599
US63039155B2,INV7423,
US63039155B2,INV5549,
US63039155B2,,COMP937
US63039155B2,,COMP448
US21872209B2,INV2787,
US21872209B2,INV8085,
US21872209B2,INV3605,
US21872209B2,,COMP164
US21872209B2,,COMP870
US51617836B2,INV8820,
US51617836B2,INV9759,
US51617836B2,INV2280,
US51617836B2,,COMP929
US51617836B2,,COMP111
US82712014B2,INV6120,
US82712014B2,INV7995,
US82712014B2,INV8513,
US82712014B2,,COMP844
US98347642B2,INV2726,
US98347642B2,INV5186,
US98347642B2,,COMP693
US98347642B2,,COMP687
US58697755B2,INV9434,
US58697755B2,,COMP805
US58697755B2,,COMP330
US54830819B2,INV7848,
US54830819B2,,COMP318
US36613969B2,INV2840,
US36613969B2,INV8494,
US36613969B2,INV6237,
US36613969B2,,COMP593
US39184684B2,INV6178,
US39184684B2,INV9257,
US39184684B2,INV6535,
US39184684B2,,COMP563
US39184684B2,,COMP919
US88028058B2,INV1112,
US88028058B2,INV2067,
US88028058B2,INV9677,
US88028058B2,,COMP552
US80969693B2,INV2728,
US80969693B2,,COMP257
US48525418B2,INV2477,
US48525418B2,INV4132,
US48525418B2,,COMP324
US48525418B2,,COMP957
US44122382B2,INV1461,
US44122382B2,,COMP276
US18154423B2,INV1145,
US18154423B2,,COMP825
US19882828B2,INV9432,
US19882828B2,INV3631,
US19882828B2,INV4546,
US19882828B2,,COMP879
US22208253B2,INV1290,
US22208253B2,,COMP981
US22888413B2,INV6953,
US22888413B2,INV8772,
US22888413B2,INV8073,
US22888413B2,,COMP867
US22888413B2,,COMP713
US99348811B2,INV6004,
US99348811B2,INV1700,
US99348811B2,INV3584,
US99348811B2,,COMP969
US57029249B2,INV7547,
US57029249B2,INV6277,
US57029249B2,INV8277,
US57029249B2,,COMP467
US78434940B2,INV1290,
US78434940B2,INV3699,
US78434940B2,INV5606,
US78434940B2,,COMP231
US76811516B2,INV4390,
US76811516B2,INV8010,
US76811516B2,,COMP686
US43516200B2,INV5290,
US43516200B2,,COMP106
US43516200B2,,COMP843
US75502897B2,INV4532,
US75502897B2,,COMP358
US75502897B2,,COMP797
US29059432B2,INV7613,
US29059432B2,INV9947,
US29059432B2,INV8523,
US29059432B2,,COMP390
US37050199B2,INV6966,
US37050199B2,,COMP832
US37050199B2,,COMP931
US87021136B2,INV1502,
US87021136B2,,COMP953
US87021136B2,,COMP776
US10247198B2,INV7521,
US10247198B2,INV8478,
US10247198B2,,COMP475
US60897786B2,INV9188,
US60897786B2,INV7445,
US60897786B2,,COMP745
US56851906B2,INV9456,
US56851906B2,INV2778,
US56851906B2,INV9814,
US56851906B2,,COMP379
US44689717B2,INV6298,
US44689717B2,INV1736,
US44689717B2,,COMP100
US40502498B2,INV7340,
US40502498B2,,COMP603
US54118066B2,INV7559,
US54118066B2,INV5129,
US54118066B2,,COMP628
US81365565B2,INV4075,
US81365565B2,,COMP490
US11070969B2,INV6943,
US11070969B2,INV2260,
US11070969B2,INV6839,
US11070969B2,,COMP337
US11070969B2,,COMP913
US89194372B2,INV7820,
US89194372B2,,COMP186
US89194372B2,,COMP690
US55075015B2,INV6035,
US55075015B2,INV8631,
US55075015B2,INV3735,
US55075015B2,,COMP605
US97924121B2,INV5753,
US97924121B2,INV1204,
US97924121B2,,COMP359
US97924121B2,,COMP937
US70415202B2,INV2810,
US70415202B2,INV2052,
US70415202B2,,COMP668
US70415202B2,,COMP473
US70443305B2,INV2915,
US70443305B2,,COMP430
US70443305B2,,COMP212
US30258359B2,INV3671,
US30258359B2,,COMP934
US53002495B2,INV2920,
US53002495B2,INV5994,
US53002495B2,,COMP491
US53002495B2,,COMP585
US76789099B2,INV3048,
US76789099B2,INV7581,
US76789099B2,INV3030,
US76789099B2,,COMP244
US60894240B2,INV3610,
US60894240B2,,COMP218
US60894240B2,,COMP262
US19173317B2,INV4604,
US19173317B2,,COMP988
US19173317B2,,COMP732
US43017057B2,INV4477,
US43017057B2,INV4460,
US43017057B2,,COMP905
US43017057B2,,COMP439
US82789806B2,INV8631,
US82789806B2,INV9136,
US82789806B2,INV4136,
US82789806B2,,COMP853
US82789806B2,,COMP772
US41508694B2,INV7764,
US41508694B2,INV8616,
US41508694B2,,COMP859
US31790162B2,INV7391,
US31790162B2,INV3171,
US31790162B2,,COMP554
US33160111B2,INV3070,
US33160111B2,INV2027,
US33160111B2,,COMP813
US33160111B2,,COMP412
US88546306B2,INV5474,
US88546306B2,INV7130,
US88546306B2,INV4804,
US88546306B2,,COMP537
US88546306B2,,COMP954
US66607492B2,INV8559,
US66607492B2,INV9857,
US66607492B2,INV1083,
US66607492B2,,COMP474
US66607492B2,,COMP762
US20367855B2,INV3168,
US20367855B2,INV7558,
US20367855B2,INV7370,
US20367855B2,,COMP714
US20367855B2,,COMP257
US33977706B2,INV1515,
US33977706B2,INV2124,
US33977706B2,,COMP465
US28315892B2,INV4337,
US28315892B2,INV9217,
US28315892B2,INV5715,
US28315892B2,,COMP651
US90544312B2,INV7443,
US90544312B2,INV1277,
US90544312B2,INV1792,
US90544312B2,,COMP325
US57352199B2,INV7692,
US57352199B2,INV3101,
US57352199B2,,COMP923
US52921213B2,INV8760,
US52921213B2,INV7800,
US52921213B2,INV3665,
US52921213B2,,COMP125
US52921213B2,,COMP704
US56438189B2,INV6445,
US56438189B2,,COMP264
US56438189B2,,COMP336
US46984149B2,INV8664,
US46984149B2,INV3560,
US46984149B2,INV2581,
US46984149B2,,COMP734
US46984149B2,,COMP764
US48165338B2,INV6933,
US48165338B2,,COMP767
US48165338B2,,COMP424
US81120723B2,INV3607,
US81120723B2,INV1106,
US81120723B2,,COMP152
US81120723B2,,COMP122
US23594780B2,INV4492,
US23594780B2,INV3239,
US23594780B2,INV9427,
US23594780B2,,COMP392
US38038556B2,INV5249,
US38038556B2,INV5553,
US38038556B2,INV3715,
US38038556B2,,COMP619
US97083762B2,INV2480,
US97083762B2,INV4833,
US97083762B2,INV4134,
US97083762B2,,COMP735
US13287179B2,INV1504,
US13287179B2,INV7492,
US13287179B2,,COMP522
US13287179B2,,COMP518
US64572462B2,INV4641,
US64572462B2,INV4962,
US64572462B2,,COMP734
US64572462B2,,COMP496
US94771466B2,INV9232,
US94771466B2,INV8638,
US94771466B2,,COMP382
US46408025B2,INV9832,
US46408025B2,,COMP178
US46408025B2,,COMP567
US12138101B2,INV3725,
US12138101B2,INV9830,
US12138101B2,INV7670,
US12138101B2,,COMP488
US12138101B2,,COMP448
US49324203B2,INV5732,
US49324203B2,INV9210,
US49324203B2,INV8573,
US49324203B2,,COMP924
US49324203B2,,COMP212
US92280856B2,INV1442,
US92280856B2,,COMP921
US38501609B2,INV6556,
US38501609B2,,COMP980
US35453201B2,INV5811,
US35453201B2,INV1559,
US35453201B2,,COMP718
US35453201B2,,COMP902
US76003134B2,INV5487,
US76003134B2,INV3684,
US76003134B2,INV6508,
US76003134B2,,COMP797
US76003134B2,,COMP633
US56730203B2,INV8655,
US56730203B2,,COMP263
US82440948B2,INV8126,
US82440948B2,INV1936,
US82440948B2,INV1830,
US82440948B2,,COMP400
US82440948B2,,COMP716
US68351657B2,INV3129,
US68351657B2,INV4671,
US68351657B2,,COMP628
US68351657B2,,COMP703
US73282713B2,INV4742,
US73282713B2,,COMP995
US21475350B2,INV2654,
US21475350B2,INV5958,
US21475350B2,,COMP772
US21475350B2,,COMP905
US23510325B2,INV9467,
US23510325B2,,COMP282
US60789085B2,INV7852,
US60789085B2,INV4565,
US60789085B2,,COMP161
US60789085B2,,COMP632
US68376972B2,INV9671,
US68376972B2,INV5440,
US68376972B2,,COMP101
US68929516B2,INV7009,
US68929516B2,,COMP377
US27054633B2,INV3108,
US27054633B2,INV3153,
US27054633B2,,COMP802
US72261766B2,INV6646,
US72261766B2,,COMP629
US80031909B2,INV6596,
US80031909B2,,COMP273
US80031909B2,,COMP451
US84682928B2,INV4188,
US84682928B2,INV9385,
US84682928B2,,COMP663
US64043447B2,INV1059,
US64043447B2,INV7520,
US64043447B2,INV1588,
US64043447B2,,COMP995
US31825066B2,INV3756,
US31825066B2,,COMP655
US32102898B2,INV9337,
US32102898B2,,COMP216
US13156646B2,INV2431,
US13156646B2,,COMP762
US13156646B2,,COMP383
US77261625B2,INV5166,
US77261625B2,INV2061,
US77261625B2,INV1700,
US77261625B2,,COMP763
US48551112B2,INV7170,
US48551112B2,INV8939,
US48551112B2,,COMP956
US48551112B2,,COMP365
US48281217B2,INV6231,
US48281217B2,,COMP920
US16021526B2,INV5263,
US16021526B2,INV3521,
US16021526B2,,COMP120
US16021526B2,,COMP240
US56398642B2,INV7866,
US56398642B2,INV1742,
US56398642B2,,COMP436
US56398642B2,,COMP840
US16622709B2,INV3779,
US16622709B2,INV9712,
US16622709B2,INV4365,
US16622709B2,,COMP595
US49859029B2,INV9871,
US49859029B2,INV6295,
US49859029B2,INV9471,
US49859029B2,,COMP485
US49859029B2,,COMP516
US54365219B2,INV2163,
US54365219B2,INV6231,
US54365219B2,,COMP896
US48937955B2,INV7854,
US48937955B2,INV5868,
US48937955B2,,COMP246
US37660602B2,INV7892,
US37660602B2,INV8508,
US37660602B2,,COMP504
US37660602B2,,COMP627
US45724169B2,INV7859,
US45724169B2,,COMP368
US18651928B2,INV7279,
